id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,2019-01-01,Home,EI3,Ealing - Acton Vale,13.149311592448944,13.059026996111484,11.658843945013825,11.259601724567268,11.652281714505634,15.89746471996052,32.670585395747956,30.255461890729254,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.855030526633797,19.209091956467844,16.5344641306785,16.28348083690733,20.686543470634252,29.187787399346323
2,2019-01-01,Work,EI3,Ealing - Acton Vale,-999,-999,-999,-999,-999,-999,-999,-999,27.3589120484302,29.199609750314067,25.432362375424333,14.837023891701934,12.079723351102857,10.641977923383738,13.214443833201688,19.06935937736279,22.504408542857373,25.47825638609008,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,EI3,Ealing - Acton Vale,26.623979153182137,21.09952723342872,15.946309924766028,14.120667211764625,17.193013912056575,17.474075714418614,28.24355458716391,43.56873582656018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45.053069191699535,43.05891958846544,45.14402650463679,42.31414027457901,36.10114665848035,35.16852523315769
4,2019-01-02,Work,EI3,Ealing - Acton Vale,-999,-999,-999,-999,-999,-999,-999,-999,44.14603402311159,38.077084896261226,33.15049933509632,29.382535048991283,30.446949815570942,31.411076039787037,28.846677853558216,38.884980157136795,43.229852238566366,45.60694618631792,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,EI3,Ealing - Acton Vale,34.228306081624794,36.883698197320506,24.081274828075863,33.09382655469789,32.974186221172445,30.855283298331123,45.02022024276408,54.195553544484135,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44.58057343141088,53.89868757706615,44.936699234008145,66.78329998297104,71.8131641927836,47.85265580499377
6,2019-01-03,Work,EI3,Ealing - Acton Vale,-999,-999,-999,-999,-999,-999,-999,-999,44.72275081394346,41.212945299850205,37.520181668481015,32.553864931813,28.131720610053716,25.503288927937064,28.45562035965489,39.880035649911335,44.43018810959936,47.8155464438414,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,EI3,Ealing - Acton Vale,57.582869564835384,64.39932628592781,45.063682409918336,47.5792801027668,47.562611872419566,41.09366105299283,36.54182090759561,46.86173648969426,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63.49961238805546,58.90154873768068,60.68434169373613,60.8037575335445,58.18850923719641,55.36232522930694
8,2019-01-04,Work,EI3,Ealing - Acton Vale,-999,-999,-999,-999,-999,-999,-999,-999,56.95048863053768,55.095821934657295,51.20506405227483,36.25249091855578,28.492385901354535,24.696421023034407,30.568446237495714,42.62242880414004,49.220769681569045,56.30616974422806,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,EI3,Ealing - Acton Vale,52.41102803844969,47.30656627574082,41.20509072924419,39.37479828872066,33.51498922350572,36.57834139121006,35.433547263009565,28.139626007544887,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,51.18080755967796,63.03347197489724,59.80569183350267,45.13598258572189,56.09682610018525,55.18541034239241
10,2019-01-05,Work,EI3,Ealing - Acton Vale,-999,-999,-999,-999,-999,-999,-999,-999,34.75909391767079,26.38489158625889,22.40990983783889,19.540017007323605,22.143662118408443,23.50257610970783,27.168785036909483,28.855275597431586,33.29392140970193,43.35328729867387,-999,-999,-999,-999,-999,-999
