id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,2019-01-01,Home,HG4,Haringey  - Priory Park South,8.247614692810457,8.114858457516338,6.548908130718953,4.6420540130718955,6.908507450980393,10.518781960784311,15.627455215686274,20.74428779084967,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.76956151633987,13.468181490196075,10.059283398692813,7.634017830065359,9.493394091503268,8.251130091503267
2,2019-01-01,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,19.2425434248366,20.46599205228758,7.830820235294119,7.728434248366012,8.555981071895424,11.391559581699346,10.978540183006537,15.78550833986928,13.364037803921567,12.33331691503268,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,HG4,Haringey  - Priory Park South,13.829578457516336,8.948157751633987,5.209141751633986,3.0445949281045745,2.8867215686274506,6.240172235294118,13.319625934640522,21.732654117647055,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.609622849673197,31.50002959477124,37.7018819869281,26.64559356862745,21.17059979084967,19.672171084967317
4,2019-01-02,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,20.339048209150327,23.014486326797385,18.734378562091504,16.873594143790847,17.284246640522873,12.641403660130717,11.196385045751631,19.725890771241826,27.672669228758167,29.95118687581699,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,HG4,Haringey  - Priory Park South,19.214550065359475,18.80351806535948,17.29766907189542,18.229669176470587,15.12890776470588,19.779300862745096,25.00103613071895,27.42174766013072,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.952722666666663,36.838681830065354,41.43065139869281,39.93545845751633,45.55614154248366,37.29107968627451
6,2019-01-03,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,56.075972130718945,40.69211806535948,30.51097416993464,21.27006959477124,19.05610745098039,17.29971639215686,16.57863022222222,18.38671362091503,21.5998179869281,27.49049767320261,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,HG4,Haringey  - Priory Park South,33.19971487581699,34.71860679738561,29.19844214379085,20.463105830065356,15.86223790849673,14.67443262745098,22.273835764705883,31.61766562091503,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57.34877615686275,54.256253960784306,54.16303597385622,51.84161448366011,42.529612967320254,39.01849866666666
8,2019-01-04,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,41.332150326797375,40.33036156862745,32.81388988235293,19.12981098039215,18.158112836601305,19.60197296732026,17.197120679738557,21.913846954248367,38.604360732026144,59.021267032679745,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,HG4,Haringey  - Priory Park South,38.13239848366013,28.26782023529411,29.065755816993462,25.54524381699346,20.687112627450976,17.323075816993462,21.504842300653593,19.227233464052286,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,48.966867241830066,47.52066018300653,42.867191111111104,54.236889307189536,46.024548444444434,43.602348862745096
10,2019-01-05,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,15.345014901960782,17.777001673202616,17.93745166013072,13.645519372549018,16.180641150326796,17.10124616993464,19.800323346405225,24.03791675816993,29.62506373856209,31.7527088627451,-999,-999,-999,-999,-999,-999
11,2019-01-06,Home,HG4,Haringey  - Priory Park South,46.839471790849665,37.67036324183006,32.75798305882353,28.09566556862745,24.36633688888889,21.78138033986928,25.436326379084964,30.618293699346403,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,29.126336522875818,36.981045490196074,41.48677793464052,31.136205803921563,31.407151163398694,31.35520915032679
12,2019-01-06,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,35.35400512418301,32.23350954248365,28.977071895424835,20.053701699346405,17.93835048366013,20.47219393464052,22.13489762091503,29.732073673202606,35.11944214379085,34.39932470588235,-999,-999,-999,-999,-999,-999
13,2019-01-07,Home,HG4,Haringey  - Priory Park South,22.773282039215687,27.192038326797384,22.936558326797385,16.308513777777776,10.972927529411765,14.549935581699344,25.73289819607843,32.92700183006536,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.441780444444444,17.594580444444443,17.382697777777775,14.908056836601306,10.348345045751634,5.688214692810458
14,2019-01-07,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,32.91351947712418,25.502140235294117,25.084506875816988,24.346882352941172,23.836550326797383,21.532436183006535,20.3992394248366,22.778095738562087,24.64640031372549,22.470967738562088,-999,-999,-999,-999,-999,-999
15,2019-01-08,Home,HG4,Haringey  - Priory Park South,3.998426457516339,3.855962928104575,2.22380925490196,2.379395607843137,2.736957594771242,4.032012496732025,9.729425150326795,17.18917108496732,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44.29547163398692,42.638590326797384,33.889492026143785,31.034129411764702,34.40068292810457,27.718109751633985
16,2019-01-08,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,25.315484549019605,24.109832627450977,19.08846509803921,19.474000470588237,18.773647163398692,14.769228549019608,13.768558326797386,21.754904993464052,38.39411592156863,38.44045526797385,-999,-999,-999,-999,-999,-999
17,2019-01-09,Home,HG4,Haringey  - Priory Park South,23.504584836601307,12.232438954248364,10.47040528104575,7.097969464052286,8.241852235294116,9.483477071895424,16.01570703267974,28.35764266666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,29.815933908496728,29.093100026143787,29.82132684967321,27.12793223529412,23.903762352941175,21.002639633986924
18,2019-01-09,Work,HG4,Haringey  - Priory Park South,-999,-999,-999,-999,-999,-999,-999,-999,44.974632679738555,36.88716836601307,17.654991372549016,75.51148298039215,33.01976041830065,16.80917845751634,14.72005291503268,20.31836528104575,20.433624418300653,26.2885908496732,-999,-999,-999,-999,-999,-999
19,2019-01-10,Home,HG4,Haringey  - Priory Park South,19.438686692810457,17.98549877124183,17.69222264052287,16.549957751633986,17.120960366013072,22.313004496732024,35.68195586928104,49.57563043137255,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.63826394771241,57.63480177777777,56.49622206535947,53.525810039215685,45.052470797385624,34.54863926797385
