Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2019-01-01,Home,LW1,Lewisham - Catford,13.894005822660464,11.554899864799474,8.480798852597342,11.121215949723172,8.915366197007385,23.383474561473058,34.3428717951051,31.705173384338472,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23.782868032015525,17.650549783721896,18.959799964914698,18.958776804051656,18.954482493325777,17.20115987758227
2019-01-01,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,29.510192617786576,27.32435193332794,25.127493650392065,20.74081985976158,16.792477292200672,15.474352371870296,15.472343449452167,21.162166910216733,26.417111284007966,20.719889799952913,-999,-999,-999,-999,-999,-999
2019-01-02,Home,LW1,Lewisham - Catford,17.345276943065105,15.58726198515968,9.74990245223046,13.686629725058411,9.307519338462143,11.49425763860123,17.1889423871528,22.875579718779065,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.91671971983353,31.163071623323823,28.972081472048643,35.96896674132619,32.46562239913763,26.775374766999196
2019-01-02,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,30.314643677488533,26.8131769086789,29.440919260415967,27.68686434753226,30.31330220164964,28.559355512321595,22.424434863228306,27.67173338573131,28.106847284188813,29.8534072134725,-999,-999,-999,-999,-999,-999
2019-01-03,Home,LW1,Lewisham - Catford,26.628901780983117,23.709929188880214,20.206381487577776,16.704214222917958,20.20096797553501,27.20265874278326,38.135457098647805,35.073684326356805,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49.48124516444798,58.68079016351609,54.28201840846603,68.35888972539406,79.49668924609519,70.80316021997199
2019-01-03,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,29.822396298860664,27.19624477231414,24.57235772928249,25.878548659063554,38.126108920811845,30.25131574257408,28.49686728386737,38.11661127936163,41.61228525915202,52.11159246940652,-999,-999,-999,-999,-999,-999
2019-01-04,Home,LW1,Lewisham - Catford,67.23324303110944,57.20210247025359,48.3458314592146,48.78462704015222,48.24965169308387,29.773990659256615,41.574468815523325,49.903459986015356,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,77.90408945458564,73.5352278794434,69.15448199798999,66.5270230820204,65.199709165626615,60.80356286686664
2019-01-04,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,53.03223298283136,44.241024100049415,44.22753226171267,50.3737662551779,37.21208103345659,34.574775701327454,34.132144221129856,31.057381870498965,45.494934213684544,71.44151347168501,-999,-999,-999,-999,-999,-999
2019-01-05,Home,LW1,Lewisham - Catford,39.32936630392323,41.65466645966342,50.24599338890571,31.893078142664944,18.78984063481986,17.040290540525703,19.227244205672832,18.78553128777983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.65571797975598,65.979674445033,58.93531200826453,49.76229965660129,42.7646494948771,60.257287413146656
2019-01-05,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,20.967188208814026,20.964035655315733,20.0917910481844,22.27423500312213,18.341492719840925,17.900920184526644,22.266461224729465,27.503668888477343,26.6233752382933,27.49882727188732,-999,-999,-999,-999,-999,-999
2019-01-06,Home,LW1,Lewisham - Catford,58.501308196267374,49.18267615235266,43.200909287550814,41.016573464774524,35.8307701647056,24.850375668230523,31.83343539222731,41.00583202724424,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.08439189393237,36.5913685051143,56.69691705767323,51.89660813209612,46.658610649914934,42.70788242285565
2019-01-06,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,48.874894453090945,52.82458869655561,43.64337042457434,44.07735868986318,36.627082053798574,40.56294261081442,51.031231133613616,47.11102142958448,61.47961530005768,53.619369627815395,-999,-999,-999,-999,-999,-999
2019-01-07,Home,LW1,Lewisham - Catford,46.20812235452471,39.22687398610235,27.853911136309062,32.22284777703431,34.407322929015066,35.28204324375626,52.38205261829923,46.1868359087747,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.52296273008121,21.72090999819167,23.0255814860059,21.278036406161245,20.396207336297696,12.547796712498366
2019-01-07,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,51.4296774413778,55.37225959157401,46.2086521341476,47.514752930639354,39.22068589524865,46.63950832119606,44.03237843118254,42.26105406393305,45.77447480099101,39.19025252376414,-999,-999,-999,-999,-999,-999
2019-01-08,Home,LW1,Lewisham - Catford,7.753820099218679,7.172171820310019,6.444468222456751,7.750311785606436,7.747677549375053,11.666370480270407,17.77055670596237,23.424978326928148,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43.86378523763334,45.601967194918124,39.935875471993576,29.048882933678406,29.481611101328898,33.39801316038593
2019-01-08,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,34.75009239667413,35.62107874500875,29.9660957156205,23.860510588821498,20.37138673247816,16.882522597853,18.18564216551562,25.147316127701124,32.54837890605662,41.25762626121982,-999,-999,-999,-999,-999,-999
2019-01-09,Home,LW1,Lewisham - Catford,31.50798169158579,22.798523878092624,21.636664348025263,18.151356419946705,14.668969559063797,19.887739520532588,23.80522384819676,29.89618813967467,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30.73948830427205,35.0843775929127,35.08260258510006,34.64327295230731,31.162498342076713,26.375636874599127
2019-01-09,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,35.55248518077897,38.60068673903863,25.97941186965846,24.671905448704816,19.446603142570584,16.398478588644096,19.87464436470924,23.78736491841442,25.0899663561268,26.390734245924623,-999,-999,-999,-999,-999,-999
2019-01-10,Home,LW1,Lewisham - Catford,23.909427284960785,19.84818399612558,21.584695326256885,21.5824942479449,33.76628981250899,58.3151864679523,66.68394136356245,71.60038495552583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65.59263577486335,68.67294024693292,65.6295226998605,62.12061509293692,59.09039001467602,52.95574073517928
2019-01-10,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,77.7568101364443,85.25614980660316,76.0691138184936,73.68605335998103,74.49435148271267,77.04060795590698,72.19873601278228,65.53301893311814,73.85113952483884,68.19312797796556,-999,-999,-999,-999,-999,-999
2019-01-11,Home,LW1,Lewisham - Catford,54.80770523215403,30.80870713739983,26.749450646155168,19.359207971227725,25.438870981478516,22.395752050334952,29.782189788166455,40.21208474891134,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70.18701213330822,65.39958476727872,54.94382371818904,47.55163672639368,56.252514947550225,63.65672602222692
