id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,01/01/2022,Home,WM0,Westminster - Horseferry Road,13.7736217,8.900460183,7.431692654,5.401080523,6.674803346,6.328616471,7.835304366,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.65340795,14.68401009,12.18690855,10.56155597,9.346356549,7.893268497
2,01/01/2022,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,8.302882353,8.880955712,9.69909485,8.72068549,7.965434039,9.063596654,10.45925987,9.875184366,10.0463703,11.73352199,11.89869579,-999,-999,-999,-999,-999,-999
3,02/01/2022,Home,WM0,Westminster - Horseferry Road,7.27685532,5.342397333,4.76508298,5.924325647,5.053924915,4.355848627,3.141937516,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.540481359,6.562210719,6.566634928,5.812212392,5.638240105,4.939055268
4,02/01/2022,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,3.492628497,4.010670431,5.464277804,5.524479007,6.222565281,6.802456261,9.123138719,8.074361464,7.146525908,8.837063163,9.93443681,-999,-999,-999,-999,-999,-999
5,03/01/2022,Home,WM0,Westminster - Horseferry Road,3.954274248,3.100501752,2.738146039,2.388973072,2.157496052,3.317108235,5.175615634,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.8084515,23.16049522,21.01362525,20.7810297,14.39841391,12.30898876
6,03/01/2022,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,6.452364497,9.877101856,11.79362332,10.22795263,10.05504894,10.52526348,12.73182531,11.56102776,12.71840288,19.46136701,21.30534342,-999,-999,-999,-999,-999,-999
7,04/01/2022,Home,WM0,Westminster - Horseferry Road,11.15561841,10.76650771,9.351479843,7.901927163,8.134602614,11.09683535,15.62807441,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44.6528239,52.30058374,46.36253605,33.4071234,26.19587221,19.05735582
8,04/01/2022,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,24.22463237,35.44996952,35.42814808,21.76112685,23.3408891,22.25533997,22.46933987,28.45636345,35.7757531,39.31090593,41.05851848,-999,-999,-999,-999,-999,-999
9,05/01/2022,Home,WM0,Westminster - Horseferry Road,15.73034055,11.4682492,11.28163346,10.81496429,13.08278593,13.60177663,25.41154881,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56.07942761,63.02450719,57.42184052,57.33804021,60.16147461,60.78234196
10,05/01/2022,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,42.00975341,44.48800962,45.25153025,41.22204444,32.24682212,22.49982996,22.7337338,25.45847739,31.48272225,39.46085966,50.27353694,-999,-999,-999,-999,-999,-999
11,06/01/2022,Home,WM0,Westminster - Horseferry Road,59.54566065,58.05999524,55.10755969,54.47578661,50.58498928,45.87432507,40.88953966,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13.66508376,12.91196952,12.49856063,18.1332354,14.88329924,10.76006614
12,06/01/2022,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,51.35298405,56.42907995,60.23583728,56.64282018,44.02722275,44.35419477,39.13119116,43.55980455,38.68652319,22.15481156,18.32248769,-999,-999,-999,-999,-999,-999
13,07/01/2022,Home,WM0,Westminster - Horseferry Road,7.446533229,5.743502327,5.470489673,6.111760314,6.402769412,5.823677386,10.93452779,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,37.08650745,39.00457689,46.26573276,40.87089407,40.68551671,34.23520952
14,07/01/2022,Work,WM0,Westminster - Horseferry Road,-999,-999,-999,-999,-999,-999,-999,16.86911001,25.52955435,22.57603022,19.51863205,23.76220763,26.1859452,24.63299786,21.81859163,25.8151805,21.53928722,21.46949856,-999,-999,-999,-999,-999,-999
15,08/01/2022,Home,WM0,Westminster - Horseferry Road,30.0825749,22.33623409,21.34057731,18.90023148,19.82929542,19.88502248,21.16863237,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39.91290797,28.97226818,13.2712892,16.17765506,16.70354672,20.88107875
