tick, monitor_code,no2
0,BT4,45.71221797
0,BT6,24.84330952
0,BT8,36.19734323
0,EI1,35.13331307
0,EN5,33.53400165
0,GB6,25.78511876
0,GN0,22.85036963
0,GN3,20.63537445
0,HV1,12.37269295
0,HV3,14.33650822
0,IS2,29.05687474
0,KT6,20.59892813
0,LW4,30.19499767
0,RB4,10.73339011
0,WMB,58.80317403
1,BT4,43.02788278
1,BT6,28.35494761
1,BT8,36.01795567
1,EI1,36.65172403
1,EN5,32.82174452
1,GB6,34.19745231
1,GN0,30.8332244
1,GN3,30.50174816
1,HV1,18.482508
1,HV3,14.60606894
1,IS2,36.03073154
1,KT6,22.06026576
1,LW4,36.37713898
1,RB4,15.02352901
1,WMB,61.75127895
2,BT4,60.67060671
2,BT6,40.94470406
2,BT8,50.73737655
2,EI1,38.10534258
2,EN5,50.53802404
2,GB6,41.48122518
2,GN0,37.67562973
2,GN3,19.67378941
2,HV1,14.49998441
2,HV3,21.29299037
2,IS2,32.89994075
2,KT6,29.37648859
2,LW4,39.12737078
2,RB4,15.23821007
2,WMB,51.44373351
3,BT4,78.56849413
3,BT6,54.83980598
3,BT8,75.27552134
3,EI1,48.97406696
3,EN5,60.02705352
3,GB6,61.5046858
3,GN0,51.87614578
3,GN3,27.61757804
3,HV1,20.54722133
3,HV3,29.73553922
3,IS2,45.90714908
3,KT6,35.68982574
3,LW4,60.65422922
3,RB4,19.53916582
3,WMB,87.03580564
4,BT4,74.26693739
4,BT6,47.44473299
4,BT8,54.19568927
4,EI1,54.05404424
4,EN5,62.44900585
4,GB6,62.73220258
4,GN0,49.79443046
4,GN3,38.56388587
4,HV1,25.07185303
4,HV3,29.17284063
4,IS2,46.35033905
4,KT6,46.08935713
4,LW4,59.71350335
4,RB4,35.09243602
4,WMB,70.37989981
5,BT4,91.77927614
5,BT6,56.21225285
5,BT8,68.51537925
5,EI1,63.21588437
5,EN5,72.92876876
5,GB6,77.14807261
5,GN0,63.42057333
5,GN3,42.62715179
5,HV1,29.65874355
5,HV3,39.46770524
5,IS2,53.7243413
5,KT6,39.26218927
5,LW4,75.32648613
5,RB4,33.58919967
5,WMB,95.45751995
6,BT4,72.82205336
6,BT6,56.01767796
6,BT8,55.95750054
6,EI1,63.18637937
6,EN5,68.91934062
6,GB6,65.91500517
6,GN0,58.44985831
6,GN3,65.80430848
6,HV1,53.96601298
6,HV3,47.62605404
6,IS2,49.89279224
6,KT6,59.50067827
6,LW4,69.49699395
6,RB4,47.31714164
6,WMB,73.38835705
7,BT4,74.48302953
7,BT6,66.17527886
7,BT8,70.36884748
7,EI1,68.31704154
7,EN5,72.29448248
7,GB6,74.04784594
7,GN0,67.00065873
7,GN3,56.05736333
7,HV1,45.58942344
7,HV3,32.86714034
7,IS2,57.25511832
7,KT6,58.67074091
7,LW4,70.67854793
7,RB4,39.19860661
7,WMB,94.73382721
8,BT4,65.34922239
8,BT6,59.66729328
8,BT8,56.43795854
8,EI1,66.04691135
8,EN5,54.35516727
8,GB6,44.64111778
8,GN0,41.8163255
8,GN3,48.57896326
8,HV1,37.19609398
8,HV3,32.3838812
8,IS2,50.11621614
8,KT6,49.76476909
8,LW4,48.41850506
8,RB4,35.62912694
8,WMB,76.16430294
9,BT4,61.17779041
9,BT6,54.39079456
9,BT8,68.44057091
9,EI1,56.17277871
9,EN5,58.50713722
9,GB6,59.81471934
9,GN0,55.92214521
9,GN3,42.72144692
9,HV1,20.451592
9,HV3,21.56573814
9,IS2,49.28699937
9,KT6,30.24151915
9,LW4,53.48294235
9,RB4,22.56737651
9,WMB,78.84490697
10,BT4,53.25525003
10,BT6,50.55974633
10,BT8,55.88178844
10,EI1,60.38954097
10,EN5,55.4691796
10,GB6,41.21106756
10,GN0,47.60319314
10,GN3,54.59055694
10,HV1,51.2074115
10,HV3,42.43213843
10,IS2,49.02516296
10,KT6,40.63180797
10,LW4,52.60770705
10,RB4,41.94804969
10,WMB,65.43863059
11,BT4,63.91969658
11,BT6,49.46549938
11,BT8,62.58276681
11,EI1,59.90105771
11,EN5,57.20670443
11,GB6,63.97946818
11,GN0,56.39606376
11,GN3,60.53246036
11,HV1,39.35177614
11,HV3,32.06268925
11,IS2,47.55719971
11,KT6,41.80597451
11,LW4,63.41456695
11,RB4,33.31499026
11,WMB,63.98243906
12,BT4,56.53946981
12,BT6,36.31893521
12,BT8,37.57011785
12,EI1,42.95358412
12,EN5,37.50484396
12,GB6,29.1479519
12,GN0,33.13322186
12,GN3,37.98563248
12,HV1,43.74796556
12,HV3,31.22021987
12,IS2,38.35622807
12,KT6,28.84099796
12,LW4,38.3657691
12,RB4,31.81642235
12,WMB,59.60967513
13,BT4,78.29741593
13,BT6,50.44922134
13,BT8,43.73530393
13,EI1,50.81151928
13,EN5,49.3014949
13,GB6,24.41901866
13,GN0,29.88430473
13,GN3,39.24673069
13,HV1,45.22547718
13,HV3,39.04766502
13,IS2,55.18274038
13,KT6,30.07391197
13,LW4,40.2740233
13,RB4,46.62195708
13,WMB,66.80059931
14,BT4,41.20540413
14,BT6,38.65019336
14,BT8,44.62250915
14,EI1,47.4419606
14,EN5,26.46732226
14,GB6,40.27148101
14,GN0,36.14576167
14,GN3,35.62761316
14,HV1,19.1849055
14,HV3,16.85495196
14,IS2,35.86272027
14,KT6,28.61193302
14,LW4,38.97565093
14,RB4,20.79077088
14,WMB,51.38276418
15,BT4,54.48560598
15,BT6,49.40156844
15,BT8,70.8393438
15,EI1,57.71877671
15,EN5,60.38979505
15,GB6,56.8083049
15,GN0,52.17129659
15,GN3,41.13178765
15,HV1,20.50828651
15,HV3,18.64497171
15,IS2,59.4419557
15,KT6,33.75896312
15,LW4,55.61748598
15,RB4,24.14996499
15,WMB,75.44086847
16,BT4,47.18748314
16,BT6,45.0958674
16,BT8,61.76825177
16,EI1,44.58500185
16,EN5,51.67825257
16,GB6,40.14927706
16,GN0,40.01919414
16,GN3,29.80790064
16,HV1,19.48824456
16,HV3,20.67898979
16,IS2,37.36860989
16,KT6,33.00285315
16,LW4,42.5648191
16,RB4,20.64576391
16,WMB,60.53861487
17,BT4,66.51329051
17,BT6,55.66913105
17,BT8,91.43222988
17,EI1,55.93049682
17,EN5,54.43605209
17,GB6,53.32085505
17,GN0,57.61718551
17,GN3,27.75647274
17,HV1,19.62142022
17,HV3,24.19708996
17,IS2,47.34277505
17,KT6,36.22436528
17,LW4,55.34089948
17,RB4,20.06948229
17,WMB,92.8743658
18,BT4,61.49318295
18,BT6,54.07870814
18,BT8,65.53244687
18,EI1,56.94706078
18,EN5,58.39371756
18,GB6,52.9111102
18,GN0,47.49071132
18,GN3,57.98936933
18,HV1,46.79147028
18,HV3,41.59491595
18,IS2,47.56441865
18,KT6,53.77281467
18,LW4,57.25780283
18,RB4,42.45452394
18,WMB,70.41892959
19,BT4,82.00047685
19,BT6,75.57416132
19,BT8,80.39634393
19,EI1,78.23217631
19,EN5,88.02091062
19,GB6,78.59766252
19,GN0,69.1789733
19,GN3,82.80364856
19,HV1,63.35634705
19,HV3,53.69054389
19,IS2,69.13231899
19,KT6,73.27051742
19,LW4,80.77843157
19,RB4,60.94899763
19,WMB,115.5929988
20,BT4,55.81951473
20,BT6,53.08278147
20,BT8,54.65561755
20,EI1,58.73095541
20,EN5,53.99244631
20,GB6,50.52484084
20,GN0,45.81821115
20,GN3,56.04323462
20,HV1,40.05346907
20,HV3,36.695732
20,IS2,48.39492352
20,KT6,51.6977476
20,LW4,53.59282068
20,RB4,37.1046189
20,WMB,73.40064117
21,BT4,67.2267104
21,BT6,69.56120234
21,BT8,88.42120245
21,EI1,70.29082901
21,EN5,73.87229939
21,GB6,84.24146835
21,GN0,66.92671014
21,GN3,73.8635383
21,HV1,41.59661842
21,HV3,43.26825794
21,IS2,58.16406896
21,KT6,64.42670616
21,LW4,73.45490057
21,RB4,42.32279963
21,WMB,99.08599703
22,BT4,52.17832702
22,BT6,38.16515924
22,BT8,36.42339705
22,EI1,37.53725354
22,EN5,36.49709609
22,GB6,23.7772328
22,GN0,25.90868223
22,GN3,32.56401603
22,HV1,32.45664493
22,HV3,27.30195273
22,IS2,40.73932954
22,KT6,20.2242162
22,LW4,39.49872509
22,RB4,29.58646646
22,WMB,60.4110002
23,BT4,59.82443478
23,BT6,39.07767987
23,BT8,37.22010534
23,EI1,43.56156159
23,EN5,44.13426125
23,GB6,34.6599418
23,GN0,34.59778273
23,GN3,43.52365045
23,HV1,36.13072272
23,HV3,23.6469358
23,IS2,43.14446832
23,KT6,23.60109886
23,LW4,40.40898053
23,RB4,23.66901563
23,WMB,61.68131183
24,BT4,22.20009939
24,BT6,16.98272777
24,BT8,16.59982577
24,EI1,22.73182209
24,EN5,23.65536265
24,GB6,17.18635559
24,GN0,16.56404882
24,GN3,20.78071012
24,HV1,14.45451905
24,HV3,7.587932304
24,IS2,18.80473088
24,KT6,11.56852801
24,LW4,23.94137865
24,RB4,8.372452016
24,WMB,43.63148712
25,BT4,37.66598558
25,BT6,21.71243496
25,BT8,17.1259365
25,EI1,25.83565002
25,EN5,32.76769495
25,GB6,24.3481433
25,GN0,23.05352584
25,GN3,29.23300152
25,HV1,27.52211977
25,HV3,13.07522834
25,IS2,25.90187572
25,KT6,13.01135658
25,LW4,30.11576139
25,RB4,14.54578167
25,WMB,39.3844145
26,BT4,45.682233
26,BT6,41.6173324
26,BT8,35.86822327
26,EI1,47.4947465
26,EN5,50.16907118
26,GB6,41.42471977
