 "tick, Monitor-Code, X, Y, no2"
0, BT4, 49, 74, 100
0, BT6, 51, 71, 67
0, BT8, 56, 69, 82
0, EI1, 48, 67, 104
0, GB6, 106, 51, 66
0, GN0, 103, 60, 47
0, GN3, 107, 59, 56
0, HV1, 125, 68, 37
0, HV3, 120, 82, 36
0, IS2, 72, 76, 84
0, KT6, 50, 44, 62
0, LW4, 89, 53, 68
0, RB4, 96, 82, 27
0, WM6, 67, 65, 125
0, WMB, 69, 65, 152
 "tick, Monitor-Code, X, Y, no2"
1, BT4, 49, 74, 115
1, BT6, 51, 71, 61
1, BT8, 56, 69, 107
1, EI1, 48, 67, 90
1, GB6, 106, 51, 96
1, GN0, 103, 60, 92
1, GN3, 107, 59, 80
1, HV1, 125, 68, 47
1, HV3, 120, 82, 38
1, IS2, 72, 76, 106
1, KT6, 50, 44, 51
1, LW4, 89, 53, 75
1, RB4, 96, 82, 38
1, WM6, 67, 65, 184
1, WMB, 69, 65, 126
 "tick, Monitor-Code, X, Y, no2"
2, BT4, 49, 74, 154
2, BT6, 51, 71, 101
2, BT8, 56, 69, 144
2, EI1, 48, 67, 79
2, GB6, 106, 51, 88
2, GN0, 103, 60, 80
2, GN3, 107, 59, 54
2, HV1, 125, 68, 35
2, HV3, 120, 82, 52
2, IS2, 72, 76, 85
2, KT6, 50, 44, 86
2, LW4, 89, 53, 100
2, RB4, 96, 82, 37
2, WM6, 67, 65, 97
2, WMB, 69, 65, 112
 "tick, Monitor-Code, X, Y, no2"
3, BT4, 49, 74, 174
3, BT6, 51, 71, 150
3, BT8, 56, 69, 156
3, EI1, 48, 67, 113
3, GB6, 106, 51, 141
3, GN0, 103, 60, 115
3, GN3, 107, 59, 80
3, HV1, 125, 68, 48
3, HV3, 120, 82, 68
3, IS2, 72, 76, 128
3, KT6, 50, 44, 88
3, LW4, 89, 53, 168
3, RB4, 96, 82, 52
3, WM6, 67, 65, 164
3, WMB, 69, 65, 234
 "tick, Monitor-Code, X, Y, no2"
4, BT4, 49, 74, 187
4, BT6, 51, 71, 117
4, BT8, 56, 69, 132
4, EI1, 48, 67, 110
4, GB6, 106, 51, 126
4, GN0, 103, 60, 115
4, GN3, 107, 59, 103
4, HV1, 125, 68, 67
4, HV3, 120, 82, 65
4, IS2, 72, 76, 120
4, KT6, 50, 44, 117
4, LW4, 89, 53, 139
4, RB4, 96, 82, 95
4, WM6, 67, 65, 130
4, WMB, 69, 65, 206
 "tick, Monitor-Code, X, Y, no2"
5, BT4, 49, 74, 241
5, BT6, 51, 71, 119
5, BT8, 56, 69, 169
5, EI1, 48, 67, 147
5, GB6, 106, 51, 205
5, GN0, 103, 60, 144
5, GN3, 107, 59, 120
5, HV1, 125, 68, 78
5, HV3, 120, 82, 88
5, IS2, 72, 76, 129
5, KT6, 50, 44, 98
5, LW4, 89, 53, 207
5, RB4, 96, 82, 97
5, WM6, 67, 65, 133
5, WMB, 69, 65, 205
 "tick, Monitor-Code, X, Y, no2"
6, BT4, 49, 74, 164
6, BT6, 51, 71, 152
6, BT8, 56, 69, 130
6, EI1, 48, 67, 143
6, GB6, 106, 51, 132
6, GN0, 103, 60, 118
6, GN3, 107, 59, 183
6, HV1, 125, 68, 131
6, HV3, 120, 82, 139
6, IS2, 72, 76, 125
6, KT6, 50, 44, 156
6, LW4, 89, 53, 175
6, RB4, 96, 82, 135
6, WM6, 67, 65, 172
6, WMB, 69, 65, 182
 "tick, Monitor-Code, X, Y, no2"
7, BT4, 49, 74, 157
7, BT6, 51, 71, 190
7, BT8, 56, 69, 208
7, EI1, 48, 67, 173
7, GB6, 106, 51, 155
7, GN0, 103, 60, 190
7, GN3, 107, 59, 147
7, HV1, 125, 68, 103
7, HV3, 120, 82, 69
7, IS2, 72, 76, 170
7, KT6, 50, 44, 120
7, LW4, 89, 53, 205
7, RB4, 96, 82, 110
7, WM6, 67, 65, 182
7, WMB, 69, 65, 222
 "tick, Monitor-Code, X, Y, no2"
8, BT4, 49, 74, 159
8, BT6, 51, 71, 133
8, BT8, 56, 69, 163
8, EI1, 48, 67, 147
8, GB6, 106, 51, 113
8, GN0, 103, 60, 117
8, GN3, 107, 59, 131
8, HV1, 125, 68, 75
8, HV3, 120, 82, 90
8, IS2, 72, 76, 148
8, KT6, 50, 44, 137
8, LW4, 89, 53, 132
8, RB4, 96, 82, 80
8, WM6, 67, 65, 159
8, WMB, 69, 65, 182
 "tick, Monitor-Code, X, Y, no2"
9, BT4, 49, 74, 161
9, BT6, 51, 71, 145
9, BT8, 56, 69, 162
9, EI1, 48, 67, 120
9, GB6, 106, 51, 129
9, GN0, 103, 60, 158
9, GN3, 107, 59, 97
9, HV1, 125, 68, 56
9, HV3, 120, 82, 47
9, IS2, 72, 76, 128
9, KT6, 50, 44, 67
9, LW4, 89, 53, 145
9, RB4, 96, 82, 56
9, WM6, 67, 65, 214
9, WMB, 69, 65, 230
 "tick, Monitor-Code, X, Y, no2"
10, BT4, 49, 74, 132
10, BT6, 51, 71, 127
10, BT8, 56, 69, 112
10, EI1, 48, 67, 142
10, GB6, 106, 51, 101
10, GN0, 103, 60, 98
10, GN3, 107, 59, 138
10, HV1, 125, 68, 126
10, HV3, 120, 82, 121
10, IS2, 72, 76, 125
10, KT6, 50, 44, 91
10, LW4, 89, 53, 145
10, RB4, 96, 82, 93
10, WM6, 67, 65, 164
10, WMB, 69, 65, 164
 "tick, Monitor-Code, X, Y, no2"
11, BT4, 49, 74, 155
11, BT6, 51, 71, 145
11, BT8, 56, 69, 164
11, EI1, 48, 67, 175
11, GB6, 106, 51, 163
11, GN0, 103, 60, 125
11, GN3, 107, 59, 164
11, HV1, 125, 68, 88
11, HV3, 120, 82, 82
11, IS2, 72, 76, 128
11, KT6, 50, 44, 121
11, LW4, 89, 53, 164
11, RB4, 96, 82, 98
11, WM6, 67, 65, 171
11, WMB, 69, 65, 178
 "tick, Monitor-Code, X, Y, no2"
12, BT4, 49, 74, 126
12, BT6, 51, 71, 75
12, BT8, 56, 69, 96
12, EI1, 48, 67, 124
12, GB6, 106, 51, 83
12, GN0, 103, 60, 68
12, GN3, 107, 59, 76
12, HV1, 125, 68, 93
12, HV3, 120, 82, 90
12, IS2, 72, 76, 103
12, KT6, 50, 44, 79
12, LW4, 89, 53, 85
12, RB4, 96, 82, 78
12, WM6, 67, 65, 170
12, WMB, 69, 65, 138
 "tick, Monitor-Code, X, Y, no2"
13, BT4, 49, 74, 221
13, BT6, 51, 71, 127
13, BT8, 56, 69, 88
13, EI1, 48, 67, 133
13, GB6, 106, 51, 66
13, GN0, 103, 60, 64
13, GN3, 107, 59, 81
13, HV1, 125, 68, 92
13, HV3, 120, 82, 99
13, IS2, 72, 76, 123
13, KT6, 50, 44, 69
13, LW4, 89, 53, 100
13, RB4, 96, 82, 129
13, WM6, 67, 65, 189
13, WMB, 69, 65, 198
 "tick, Monitor-Code, X, Y, no2"
14, BT4, 49, 74, 87
14, BT6, 51, 71, 87
14, BT8, 56, 69, 103
14, EI1, 48, 67, 99
14, GB6, 106, 51, 103
14, GN0, 103, 60, 78
14, GN3, 107, 59, 73
14, HV1, 125, 68, 56
14, HV3, 120, 82, 40
14, IS2, 72, 76, 106
14, KT6, 50, 44, 83
14, LW4, 89, 53, 104
14, RB4, 96, 82, 53
14, WM6, 67, 65, 141
14, WMB, 69, 65, 128
 "tick, Monitor-Code, X, Y, no2"
15, BT4, 49, 74, 114
15, BT6, 51, 71, 138
15, BT8, 56, 69, 166
15, EI1, 48, 67, 144
15, GB6, 106, 51, 168
15, GN0, 103, 60, 154
15, GN3, 107, 59, 120
15, HV1, 125, 68, 46
15, HV3, 120, 82, 42
15, IS2, 72, 76, 159
15, KT6, 50, 44, 79
15, LW4, 89, 53, 147
15, RB4, 96, 82, 63
15, WM6, 67, 65, 197
15, WMB, 69, 65, 222
 "tick, Monitor-Code, X, Y, no2"
16, BT4, 49, 74, 127
16, BT6, 51, 71, 117
16, BT8, 56, 69, 162
16, EI1, 48, 67, 130
16, GB6, 106, 51, 120
16, GN0, 103, 60, 104
16, GN3, 107, 59, 79
16, HV1, 125, 68, 48
16, HV3, 120, 82, 45
16, IS2, 72, 76, 91
16, KT6, 50, 44, 87
16, LW4, 89, 53, 109
16, RB4, 96, 82, 44
16, WM6, 67, 65, 141
16, WMB, 69, 65, 137
 "tick, Monitor-Code, X, Y, no2"
17, BT4, 49, 74, 172
17, BT6, 51, 71, 151
17, BT8, 56, 69, 195
17, EI1, 48, 67, 154
17, GB6, 106, 51, 118
17, GN0, 103, 60, 149
17, GN3, 107, 59, 69
17, HV1, 125, 68, 58
17, HV3, 120, 82, 62
17, IS2, 72, 76, 137
17, KT6, 50, 44, 95
17, LW4, 89, 53, 161
17, RB4, 96, 82, 55
17, WM6, 67, 65, 130
17, WMB, 69, 65, 229
 "tick, Monitor-Code, X, Y, no2"
18, BT4, 49, 74, 132
18, BT6, 51, 71, 113
18, BT8, 56, 69, 193
18, EI1, 48, 67, 154
18, GB6, 106, 51, 123
18, GN0, 103, 60, 117
18, GN3, 107, 59, 135
18, HV1, 125, 68, 121
18, HV3, 120, 82, 106
18, IS2, 72, 76, 137
18, KT6, 50, 44, 159
18, LW4, 89, 53, 128
18, RB4, 96, 82, 106
18, WM6, 67, 65, 168
18, WMB, 69, 65, 201
 "tick, Monitor-Code, X, Y, no2"
19, BT4, 49, 74, 225
19, BT6, 51, 71, 159
19, BT8, 56, 69, 208
19, EI1, 48, 67, 217
19, GB6, 106, 51, 220
19, GN0, 103, 60, 152
19, GN3, 107, 59, 229
19, HV1, 125, 68, 156
19, HV3, 120, 82, 155
19, IS2, 72, 76, 162
19, KT6, 50, 44, 217
19, LW4, 89, 53, 189
19, RB4, 96, 82, 125
19, WM6, 67, 65, 179
19, WMB, 69, 65, 242
 "tick, Monitor-Code, X, Y, no2"
20, BT4, 49, 74, 124
20, BT6, 51, 71, 121
20, BT8, 56, 69, 147
20, EI1, 48, 67, 157
20, GB6, 106, 51, 148
20, GN0, 103, 60, 137
20, GN3, 107, 59, 139
20, HV1, 125, 68, 93
20, HV3, 120, 82, 92
20, IS2, 72, 76, 100
20, KT6, 50, 44, 105
20, LW4, 89, 53, 161
20, RB4, 96, 82, 107
20, WM6, 67, 65, 177
20, WMB, 69, 65, 155
 "tick, Monitor-Code, X, Y, no2"
21, BT4, 49, 74, 147
21, BT6, 51, 71, 171
21, BT8, 56, 69, 244
21, EI1, 48, 67, 185
21, GB6, 106, 51, 220
21, GN0, 103, 60, 144
21, GN3, 107, 59, 188
21, HV1, 125, 68, 87
21, HV3, 120, 82, 119
21, IS2, 72, 76, 122
21, KT6, 50, 44, 141
21, LW4, 89, 53, 172
21, RB4, 96, 82, 94
21, WM6, 67, 65, 198
21, WMB, 69, 65, 281
 "tick, Monitor-Code, X, Y, no2"
22, BT4, 49, 74, 154
22, BT6, 51, 71, 90
22, BT8, 56, 69, 80
22, EI1, 48, 67, 92
22, GB6, 106, 51, 56
22, GN0, 103, 60, 56
22, GN3, 107, 59, 73
22, HV1, 125, 68, 92
22, HV3, 120, 82, 61
22, IS2, 72, 76, 89
22, KT6, 50, 44, 50
22, LW4, 89, 53, 102
22, RB4, 96, 82, 66
22, WM6, 67, 65, 154
22, WMB, 69, 65, 131
 "tick, Monitor-Code, X, Y, no2"
23, BT4, 49, 74, 165
23, BT6, 51, 71, 114
23, BT8, 56, 69, 99
23, EI1, 48, 67, 130
23, GB6, 106, 51, 101
23, GN0, 103, 60, 92
23, GN3, 107, 59, 130
23, HV1, 125, 68, 94
23, HV3, 120, 82, 56
23, IS2, 72, 76, 113
23, KT6, 50, 44, 54
23, LW4, 89, 53, 86
23, RB4, 96, 82, 62
23, WM6, 67, 65, 180
23, WMB, 69, 65, 167
 "tick, Monitor-Code, X, Y, no2"
24, BT4, 49, 74, 65
24, BT6, 51, 71, 47
24, BT8, 56, 69, 49
24, EI1, 48, 67, 67
24, GB6, 106, 51, 42
24, GN0, 103, 60, 42
24, GN3, 107, 59, 61
24, HV1, 125, 68, 36
24, HV3, 120, 82, 22
24, IS2, 72, 76, 44
24, KT6, 50, 44, 24
24, LW4, 89, 53, 58
24, RB4, 96, 82, 20
24, WM6, 67, 65, 125
24, WMB, 69, 65, 111
 "tick, Monitor-Code, X, Y, no2"
25, BT4, 49, 74, 96
25, BT6, 51, 71, 60
25, BT8, 56, 69, 44
25, EI1, 48, 67, 69
25, GB6, 106, 51, 65
25, GN0, 103, 60, 60
25, GN3, 107, 59, 83
25, HV1, 125, 68, 73
25, HV3, 120, 82, 28
25, IS2, 72, 76, 67
25, KT6, 50, 44, 26
25, LW4, 89, 53, 61
25, RB4, 96, 82, 30
25, WM6, 67, 65, 151
25, WMB, 69, 65, 96
 "tick, Monitor-Code, X, Y, no2"
26, BT4, 49, 74, 123
26, BT6, 51, 71, 113
26, BT8, 56, 69, 106
26, EI1, 48, 67, 130
26, GB6, 106, 51, 104
26, GN0, 103, 60, 75
26, GN3, 107, 59, 122
26, HV1, 125, 68, 90
26, HV3, 120, 82, 74
26, IS2, 72, 76, 101
26, KT6, 50, 44, 68
26, LW4, 89, 53, 132
26, RB4, 96, 82, 57
26, WM6, 67, 65, 128
26, WMB, 69, 65, 141
 "tick, Monitor-Code, X, Y, no2"
27, BT4, 49, 74, 147
27, BT6, 51, 71, 142
27, BT8, 56, 69, 131
27, EI1, 48, 67, 130
27, GB6, 106, 51, 173
27, GN0, 103, 60, 126
27, GN3, 107, 59, 155
27, HV1, 125, 68, 80
27, HV3, 120, 82, 61
27, IS2, 72, 76, 116
27, KT6, 50, 44, 108
27, LW4, 89, 53, 137
27, RB4, 96, 82, 63
27, WM6, 67, 65, 215
27, WMB, 69, 65, 198
 "tick, Monitor-Code, X, Y, no2"
28, BT4, 49, 74, 208
28, BT6, 51, 71, 110
28, BT8, 56, 69, 104
28, EI1, 48, 67, 121
28, GB6, 106, 51, 62
28, GN0, 103, 60, 58
28, GN3, 107, 59, 69
28, HV1, 125, 68, 82
28, HV3, 120, 82, 129
28, IS2, 72, 76, 106
28, KT6, 50, 44, 74
28, LW4, 89, 53, 94
28, RB4, 96, 82, 107
28, WM6, 67, 65, 153
28, WMB, 69, 65, 99
 "tick, Monitor-Code, X, Y, no2"
29, BT4, 49, 74, 278
29, BT6, 51, 71, 142
29, BT8, 56, 69, 103
29, EI1, 48, 67, 127
29, GB6, 106, 51, 91
29, GN0, 103, 60, 77
29, GN3, 107, 59, 102
29, HV1, 125, 68, 140
29, HV3, 120, 82, 129
29, IS2, 72, 76, 185
29, KT6, 50, 44, 107
29, LW4, 89, 53, 106
29, RB4, 96, 82, 182
29, WM6, 67, 65, 175
29, WMB, 69, 65, 147
 "tick, Monitor-Code, X, Y, no2"
30, BT4, 49, 74, 186
30, BT6, 51, 71, 92
30, BT8, 56, 69, 94
30, EI1, 48, 67, 117
30, GB6, 106, 51, 63
30, GN0, 103, 60, 62
30, GN3, 107, 59, 73
30, HV1, 125, 68, 77
30, HV3, 120, 82, 133
30, IS2, 72, 76, 91
30, KT6, 50, 44, 75
30, LW4, 89, 53, 88
30, RB4, 96, 82, 114
30, WM6, 67, 65, 125
30, WMB, 69, 65, 125
 "tick, Monitor-Code, X, Y, no2"
31, BT4, 49, 74, 151
31, BT6, 51, 71, 110
31, BT8, 56, 69, 112
31, EI1, 48, 67, 134
31, GB6, 106, 51, 55
31, GN0, 103, 60, 74
31, GN3, 107, 59, 79
31, HV1, 125, 68, 67
31, HV3, 120, 82, 138
31, IS2, 72, 76, 164
31, KT6, 50, 44, 85
31, LW4, 89, 53, 79
31, RB4, 96, 82, 72
31, WM6, 67, 65, 196
31, WMB, 69, 65, 189
 "tick, Monitor-Code, X, Y, no2"
32, BT4, 49, 74, 163
32, BT6, 51, 71, 116
32, BT8, 56, 69, 170
32, EI1, 48, 67, 128
32, GB6, 106, 51, 125
32, GN0, 103, 60, 97
32, GN3, 107, 59, 126
32, HV1, 125, 68, 119
32, HV3, 120, 82, 92
32, IS2, 72, 76, 127
32, KT6, 50, 44, 152
32, LW4, 89, 53, 167
32, RB4, 96, 82, 124
32, WM6, 67, 65, 145
32, WMB, 69, 65, 170
 "tick, Monitor-Code, X, Y, no2"
33, BT4, 49, 74, 136
33, BT6, 51, 71, 104
33, BT8, 56, 69, 186
33, EI1, 48, 67, 123
33, GB6, 106, 51, 169
33, GN0, 103, 60, 99
33, GN3, 107, 59, 120
33, HV1, 125, 68, 68
33, HV3, 120, 82, 50
33, IS2, 72, 76, 127
33, KT6, 50, 44, 72
33, LW4, 89, 53, 159
33, RB4, 96, 82, 59
33, WM6, 67, 65, 164
33, WMB, 69, 65, 326
 "tick, Monitor-Code, X, Y, no2"
34, BT4, 49, 74, 212
34, BT6, 51, 71, 158
34, BT8, 56, 69, 157
34, EI1, 48, 67, 157
34, GB6, 106, 51, 127
34, GN0, 103, 60, 137
34, GN3, 107, 59, 148
34, HV1, 125, 68, 136
34, HV3, 120, 82, 190
34, IS2, 72, 76, 150
34, KT6, 50, 44, 105
34, LW4, 89, 53, 115
34, RB4, 96, 82, 155
34, WM6, 67, 65, 188
34, WMB, 69, 65, 157
 "tick, Monitor-Code, X, Y, no2"
35, BT4, 49, 74, 284
35, BT6, 51, 71, 180
35, BT8, 56, 69, 181
35, EI1, 48, 67, 211
35, GB6, 106, 51, 107
35, GN0, 103, 60, 96
35, GN3, 107, 59, 150
35, HV1, 125, 68, 165
35, HV3, 120, 82, 238
35, IS2, 72, 76, 178
35, KT6, 50, 44, 163
35, LW4, 89, 53, 146
35, RB4, 96, 82, 204
35, WM6, 67, 65, 221
35, WMB, 69, 65, 180
 "tick, Monitor-Code, X, Y, no2"
36, BT4, 49, 74, 162
36, BT6, 51, 71, 91
36, BT8, 56, 69, 83
36, EI1, 48, 67, 93
36, GB6, 106, 51, 127
36, GN0, 103, 60, 85
36, GN3, 107, 59, 91
36, HV1, 125, 68, 69
36, HV3, 120, 82, 97
36, IS2, 72, 76, 101
36, KT6, 50, 44, 87
36, LW4, 89, 53, 114
36, RB4, 96, 82, 114
36, WM6, 67, 65, 145
36, WMB, 69, 65, 158
 "tick, Monitor-Code, X, Y, no2"
37, BT4, 49, 74, 239
37, BT6, 51, 71, 105
37, BT8, 56, 69, 110
37, EI1, 48, 67, 140
37, GB6, 106, 51, 154
37, GN0, 103, 60, 51
37, GN3, 107, 59, 112
37, HV1, 125, 68, 67
37, HV3, 120, 82, 110
37, IS2, 72, 76, 93
37, KT6, 50, 44, 104
37, LW4, 89, 53, 127
37, RB4, 96, 82, 153
37, WM6, 67, 65, 189
37, WMB, 69, 65, 167
 "tick, Monitor-Code, X, Y, no2"
38, BT4, 49, 74, 238
38, BT6, 51, 71, 190
38, BT8, 56, 69, 134
38, EI1, 48, 67, 153
38, GB6, 106, 51, 155
38, GN0, 103, 60, 138
38, GN3, 107, 59, 191
38, HV1, 125, 68, 94
38, HV3, 120, 82, 110
38, IS2, 72, 76, 136
38, KT6, 50, 44, 153
38, LW4, 89, 53, 202
38, RB4, 96, 82, 164
38, WM6, 67, 65, 171
38, WMB, 69, 65, 164
 "tick, Monitor-Code, X, Y, no2"
39, BT4, 49, 74, 206
39, BT6, 51, 71, 110
39, BT8, 56, 69, 174
39, EI1, 48, 67, 93
39, GB6, 106, 51, 160
39, GN0, 103, 60, 150
39, GN3, 107, 59, 112
39, HV1, 125, 68, 63
39, HV3, 120, 82, 86
39, IS2, 72, 76, 132
39, KT6, 50, 44, 117
39, LW4, 89, 53, 139
39, RB4, 96, 82, 90
39, WM6, 67, 65, 140
39, WMB, 69, 65, 180
 "tick, Monitor-Code, X, Y, no2"
40, BT4, 49, 74, 215
40, BT6, 51, 71, 138
40, BT8, 56, 69, 131
40, EI1, 48, 67, 165
40, GB6, 106, 51, 117
40, GN0, 103, 60, 125
40, GN3, 107, 59, 136
40, HV1, 125, 68, 142
40, HV3, 120, 82, 131
40, IS2, 72, 76, 161
40, KT6, 50, 44, 147
40, LW4, 89, 53, 155
40, RB4, 96, 82, 188
40, WM6, 67, 65, 166
40, WMB, 69, 65, 190
 "tick, Monitor-Code, X, Y, no2"
41, BT4, 49, 74, 303
41, BT6, 51, 71, 160
41, BT8, 56, 69, 153
41, EI1, 48, 67, 207
41, GB6, 106, 51, 199
41, GN0, 103, 60, 156
41, GN3, 107, 59, 157
41, HV1, 125, 68, 177
41, HV3, 120, 82, 249
41, IS2, 72, 76, 188
41, KT6, 50, 44, 159
41, LW4, 89, 53, 151
41, RB4, 96, 82, 202
41, WM6, 67, 65, 227
41, WMB, 69, 65, 244
 "tick, Monitor-Code, X, Y, no2"
42, BT4, 49, 74, 150
42, BT6, 51, 71, 114
42, BT8, 56, 69, 144
42, EI1, 48, 67, 146
42, GB6, 106, 51, 145
42, GN0, 103, 60, 122
42, GN3, 107, 59, 112
42, HV1, 125, 68, 101
42, HV3, 120, 82, 112
42, IS2, 72, 76, 143
42, KT6, 50, 44, 126
42, LW4, 89, 53, 159
42, RB4, 96, 82, 135
42, WM6, 67, 65, 154
42, WMB, 69, 65, 160
 "tick, Monitor-Code, X, Y, no2"
43, BT4, 49, 74, 263
43, BT6, 51, 71, 150
43, BT8, 56, 69, 153
43, EI1, 48, 67, 201
43, GB6, 106, 51, 108
43, GN0, 103, 60, 101
43, GN3, 107, 59, 180
43, HV1, 125, 68, 177
43, HV3, 120, 82, 115
43, IS2, 72, 76, 192
43, KT6, 50, 44, 123
43, LW4, 89, 53, 152
43, RB4, 96, 82, 154
43, WM6, 67, 65, 215
43, WMB, 69, 65, 181
 "tick, Monitor-Code, X, Y, no2"
44, BT4, 49, 74, 185
44, BT6, 51, 71, 172
44, BT8, 56, 69, 182
44, EI1, 48, 67, 122
44, GB6, 106, 51, 146
44, GN0, 103, 60, 112
44, GN3, 107, 59, 113
44, HV1, 125, 68, 79
44, HV3, 120, 82, 87
44, IS2, 72, 76, 131
44, KT6, 50, 44, 127
44, LW4, 89, 53, 146
44, RB4, 96, 82, 101
44, WM6, 67, 65, 131
44, WMB, 69, 65, 197
 "tick, Monitor-Code, X, Y, no2"
45, BT4, 49, 74, 216
45, BT6, 51, 71, 170
45, BT8, 56, 69, 198
45, EI1, 48, 67, 142
45, GB6, 106, 51, 210
45, GN0, 103, 60, 145
45, GN3, 107, 59, 119
45, HV1, 125, 68, 48
45, HV3, 120, 82, 76
45, IS2, 72, 76, 156
45, KT6, 50, 44, 123
45, LW4, 89, 53, 186
45, RB4, 96, 82, 81
45, WM6, 67, 65, 157
45, WMB, 69, 65, 346
 "tick, Monitor-Code, X, Y, no2"
46, BT4, 49, 74, 248
46, BT6, 51, 71, 219
46, BT8, 56, 69, 174
46, EI1, 48, 67, 164
46, GB6, 106, 51, 193
46, GN0, 103, 60, 140
46, GN3, 107, 59, 152
46, HV1, 125, 68, 149
46, HV3, 120, 82, 168
46, IS2, 72, 76, 217
46, KT6, 50, 44, 190
46, LW4, 89, 53, 223
46, RB4, 96, 82, 190
46, WM6, 67, 65, 153
46, WMB, 69, 65, 275
 "tick, Monitor-Code, X, Y, no2"
47, BT4, 49, 74, 335
47, BT6, 51, 71, 215
47, BT8, 56, 69, 222
47, EI1, 48, 67, 185
47, GB6, 106, 51, 207
47, GN0, 103, 60, 171
47, GN3, 107, 59, 253
47, HV1, 125, 68, 210
47, HV3, 120, 82, 191
47, IS2, 72, 76, 192
47, KT6, 50, 44, 222
47, LW4, 89, 53, 221
47, RB4, 96, 82, 243
47, WM6, 67, 65, 178
47, WMB, 69, 65, 237
 "tick, Monitor-Code, X, Y, no2"
48, BT4, 49, 74, 214
48, BT6, 51, 71, 183
48, BT8, 56, 69, 177
48, EI1, 48, 67, 158
48, GB6, 106, 51, 133
48, GN0, 103, 60, 108
48, GN3, 107, 59, 136
48, HV1, 125, 68, 136
48, HV3, 120, 82, 148
48, IS2, 72, 76, 140
48, KT6, 50, 44, 99
48, LW4, 89, 53, 124
48, RB4, 96, 82, 159
48, WM6, 67, 65, 238
48, WMB, 69, 65, 198
